time_utc,satellite_1,satellite_2,distance_km
2025-04-06 03:49:28,MEV-2,INTELSAT 1002,0.0
2025-04-06 03:49:28,MEV-1,INTELSAT 901,0.0
2025-04-06 03:49:28,TIANHUI 2-01B,TIANHUI 2-01A,0.6086842893882128
2025-04-06 03:49:28,O3B FM19,O3B FM13,2.5971788394984925
2025-04-06 03:49:28,TANDEM X,TERRA SAR X,0.4627923772302933
2025-04-06 03:59:28,DRAGON ENDURANCE 4,PROGRESS MS-30,0.0
2025-04-06 03:59:28,DRAGON ENDURANCE 4,PROGRESS MS-29,0.0
2025-04-06 03:59:28,DRAGON ENDURANCE 4,SOYUZ MS-26,0.0
2025-04-06 03:59:28,DRAGON ENDURANCE 4,ISS (NAUKA),0.0
2025-04-06 03:59:28,DRAGON ENDURANCE 4,ISS (ZARYA),0.0
2025-04-06 03:59:28,PROGRESS MS-30,PROGRESS MS-29,0.0
2025-04-06 03:59:28,PROGRESS MS-30,SOYUZ MS-26,0.0
2025-04-06 03:59:28,PROGRESS MS-30,ISS (NAUKA),0.0
2025-04-06 03:59:28,PROGRESS MS-30,ISS (ZARYA),0.0
2025-04-06 03:59:28,STARLINK-32907,GHGSAT-C8,8.947454274504503
2025-04-06 03:59:28,COSMOS 2582,COSMOS 2581,0.13677145557538772
2025-04-06 03:59:28,SUPERVIEW NEO-2 04,SUPERVIEW NEO-2 03,1.360179709312818
2025-04-06 03:59:28,PROGRESS MS-29,SOYUZ MS-26,0.0
2025-04-06 03:59:28,PROGRESS MS-29,ISS (NAUKA),0.0
2025-04-06 03:59:28,PROGRESS MS-29,ISS (ZARYA),0.0
2025-04-06 03:59:28,TIANZHOU 8,SZ-19,0.0
2025-04-06 03:59:28,TIANZHOU 8,CSS (MENGTIAN),0.0
2025-04-06 03:59:28,TIANZHOU 8,CSS (WENTIAN),0.0
2025-04-06 03:59:28,TIANZHOU 8,CSS (TIANHE-1),0.0
2025-04-06 03:59:28,SZ-19,CSS (MENGTIAN),0.0
2025-04-06 03:59:28,SZ-19,CSS (WENTIAN),0.0
2025-04-06 03:59:28,SZ-19,CSS (TIANHE-1),0.0
2025-04-06 03:59:28,SOYUZ MS-26,ISS (NAUKA),0.0
2025-04-06 03:59:28,SOYUZ MS-26,ISS (ZARYA),0.0
2025-04-06 03:59:28,UMBRA-10,UMBRA-09,8.51270835283995
2025-04-06 03:59:28,TIANHUI 5D,TIANHUI 5C,0.504420585478552
2025-04-06 03:59:28,STARLINK-31451,STARLINK-31549,2.9021905525211142
2025-04-06 03:59:28,TIANHUI 5B,TIANHUI 5A,1.475666587649755
2025-04-06 03:59:28,CSS (MENGTIAN),CSS (WENTIAN),0.0
2025-04-06 03:59:28,CSS (MENGTIAN),CSS (TIANHE-1),0.0
2025-04-06 03:59:28,CSS (WENTIAN),CSS (TIANHE-1),0.0
2025-04-06 03:59:28,TIANHUI 2-02B,TIANHUI 2-02A,0.6724987510099661
2025-04-06 03:59:28,ISS (NAUKA),ISS (ZARYA),0.0
2025-04-06 03:59:28,MEV-2,INTELSAT 1002,0.0
2025-04-06 03:59:28,MEV-1,INTELSAT 901,0.0
2025-04-06 03:59:28,TIANHUI 2-01B,TIANHUI 2-01A,0.21063011815034977
